"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000040300",27.3111258249694,0.721993330797956,0.247597979523474,2.91599039777102,0.00354561412820114,0.0352790047219491
"ENSRNOG00000061316",3446.65106792617,0.213081337198495,0.071942984140397,2.96180843406031,0.00305838002283771,0.0314355499313967
"ENSRNOG00000023659",14.8379473678536,0.88203211573656,0.313461050424347,2.8138491673607,0.00489521912456524,0.0452816273572536
"ENSRNOG00000029897",23.5113767708053,-0.559940098908396,0.368729532165043,-1.51856591366749,0.128871796508279,0.386666157887143
"ENSRNOG00000014303",1071.86352573701,0.0685191200519857,0.0600965635887594,1.14015038398638,0.25422365418429,0.555751529125815
"ENSRNOG00000014330",699.249053429657,0.0513747919993953,0.0605303598977907,0.848744201854158,0.396023644635189,0.693479854104864
"ENSRNOG00000049505",388.190815147683,0.102193546366032,0.089378746165917,1.14337637022034,0.252882359021116,0.55420544128343
"ENSRNOG00000014916",1614.89232533288,-0.108484812188368,0.0645040246574061,-1.68183013020587,0.0926017843286928,0.321229617279274
"ENSRNOG00000014996",494.73576544801,0.00060059902589637,0.0693187934647534,0.00866430293830428,0.993086972949174,0.998013881052548
"ENSRNOG00000015239",1181.20574500937,-0.00820019055020062,0.0644082583919748,-0.127315824941206,0.898690435738297,0.961522504814814
"ENSRNOG00000053710",32.1155064401174,-0.581045235949709,0.338213785602544,-1.71798211866069,0.0857998768816733,0.306739427805017
"ENSRNOG00000015552",1226.25309277488,-0.0946214307282441,0.0686518096645371,-1.37828021126619,0.168116790477912,0.449357951415961
"ENSRNOG00000016054",2468.85877443353,-0.151395034182487,0.0435148898330614,-3.47915471608207,0.000502998097741616,0.00794062183477989
"ENSRNOG00000016381",528.442798517147,-0.119720917334914,0.0715734321657594,-1.67270052185911,0.0943862664656487,0.324980753472387
"ENSRNOG00000013160",694.051088330514,-0.0274327020989332,0.0835638039158312,-0.328284506130962,0.742696557946668,0.897740066111625
"ENSRNOG00000023549",156.711301579089,-0.227070230558892,0.133525042614819,-1.70058159961741,0.0890215817724582,0.313853224127306
"ENSRNOG00000031859",95.6187696401237,-0.338230346265802,0.212392956058387,-1.59247440472001,0.111278149709637,0.355326570164834
"ENSRNOG00000013351",778.075147673934,0.0346536711519134,0.0544475969213517,0.636459148086366,0.524477199545478,0.787190923832036
"ENSRNOG00000014258",509.934467397632,0.282470176227786,0.0881730075934421,3.20359012284384,0.00135725552888917,0.016916131409217
"ENSRNOG00000014290",14.8307406386435,0.172009469953677,0.328784477097011,0.523167855953626,0.600857448181499,0.832950327086813
"ENSRNOG00000014431",34.1270942244321,-0.0685160946784167,0.234583625644341,-0.292075350486295,0.77022901282615,0.908477313107528
"ENSRNOG00000014450",1137.53536923177,-0.00403945163480575,0.0637375447332635,-0.0633763294728488,0.9494668356959,0.982373824100642
"ENSRNOG00000014852",1674.53221076321,0.109649313425642,0.0654688991033314,1.67483056729853,0.0939674796361377,0.324293783105167
"ENSRNOG00000040242",13.9227551594362,-0.248261972645529,0.367810890012416,-0.674971784106631,0.499693691641086,0.769637837881371
"ENSRNOG00000011058",6180.31053574944,-0.114964811498709,0.0583191932059343,-1.97130318817597,0.0486892069167771,0.21596202374849
"ENSRNOG00000014902",564.521208775533,0.0112999161333558,0.0803255161977169,0.140676545489501,0.888125474796289,0.95774141431916
"ENSRNOG00000014908",586.045119569542,-0.157705788020922,0.0770893501805266,-2.04575324155165,0.0407806545601667,0.193205579589622
"ENSRNOG00000025587",7431.51860096417,-0.729755350658258,0.150229627628108,-4.8575994108483,1.18817487096893e-06,4.92703916120481e-05
"ENSRNOG00000015217",1250.09174963386,-0.0944545507697656,0.0541576488006531,-1.74406668054295,0.0811474632363103,0.29641983620706
"ENSRNOG00000015473",289.442843625566,0.0352194260340459,0.0986864661549179,0.356882026546157,0.721180125580614,0.888507989149559
"ENSRNOG00000015551",32.1274742652962,0.0298467415814232,0.237323119338772,0.125764155066653,0.899918616542459,0.961690486897613
"ENSRNOG00000015660",309.726663007144,0.0171132138054352,0.104529573998313,0.16371647899102,0.869954344230261,0.952382227582193
"ENSRNOG00000046983",60.656441670151,0.522433506080446,0.170165375359207,3.07015163911945,0.00213950113563679,0.0240531246760653
"ENSRNOG00000010753",442.223229497,-0.0350934276325369,0.0736798705340877,-0.476296000225748,0.633863514530039,0.849762881299115
"ENSRNOG00000011015",884.018043687769,-0.0118126340080687,0.0591935962821075,-0.199559323136434,0.841825243234681,0.940998380315207
"ENSRNOG00000011399",91.4849490504545,0.0935311219345446,0.144709057656292,0.646339098943596,0.518059771808982,0.782202089672115
"ENSRNOG00000011411",535.139279282434,0.264063021650169,0.0728112611409826,3.62667831201098,0.000287090590127238,0.00507498385814563
"ENSRNOG00000011540",969.935755669991,0.040583109492369,0.0705350008546541,0.575361295819581,0.565046974433676,0.81406413820776
"ENSRNOG00000060990",217.419211252932,0.0202991678145643,0.107994560902759,0.187964723823843,0.850904304555859,0.944361635972697
"ENSRNOG00000058425",39.3343929156727,-0.353719898288209,0.214759943750128,-1.64704782517433,0.0995482160502143,0.334280096832594
"ENSRNOG00000051831",143.924747956659,-0.0772460016451397,0.164490190110385,-0.469608562026111,0.638634706400232,0.851250516449385
"ENSRNOG00000052007",20.5343484847286,-0.159992712450023,0.294602953620666,-0.543079118806228,0.587075328992103,0.826424005266193
"ENSRNOG00000061685",24.1004849365342,-0.172487750781908,0.257921049929688,-0.668761820056679,0.503647425340702,0.771803647566112
"ENSRNOG00000047746",2664.97854805017,-0.014739502025045,0.171138247451859,-0.0861262882173152,0.931366026288883,0.974291168200367
"ENSRNOG00000053888",113.692396998458,-0.161256566718877,0.191568002464434,-0.841771927693486,0.399915628119986,0.69767718557079
"ENSRNOG00000055836",215.91305141829,0.214720419978103,0.153722550903306,1.39680494967304,0.162472233462256,0.442353835061585
"ENSRNOG00000060657",169.596956620312,0.159895686243332,0.159000090515246,1.00563267432857,0.314592300255875,0.618908972613945
"ENSRNOG00000059898",199.647942163751,-0.137373076117711,0.10945283966557,-1.25508919218041,0.209446383443194,0.504625833539417
"ENSRNOG00000056940",4807.114901742,-0.26156774508446,0.053334849513701,-4.90425580027683,9.37822111335185e-07,4.01393894661821e-05
"ENSRNOG00000055972",9.86025293227771,0.642950652030963,0.421270799856058,1.52621698976205,0.126955833640882,NA
"ENSRNOG00000060972",822.144160579243,-0.233230946144604,0.063512411635822,-3.67221051976332,0.000240461464926629,0.00441013701053471
"ENSRNOG00000051450",2144.9048527802,0.128142926510221,0.0600287175952495,2.13469372066615,0.0327860362557174,0.167362704876377
"ENSRNOG00000059224",913.48420567587,-0.0663074342276085,0.0500526601909722,-1.32475344915969,0.185252939082044,0.472666642154703
"ENSRNOG00000053347",119.079846573982,0.0664258705273713,0.126300284426831,0.52593603275576,0.598932652246977,0.83183843570519
"ENSRNOG00000060603",2281.46330217202,0.153332442374934,0.0784145009312328,1.95540927448358,0.0505347823169293,0.221480104501003
"ENSRNOG00000053735",174.254371902123,0.161130827731002,0.105627409780397,1.52546415808168,0.12714336678923,0.383878556787106
"ENSRNOG00000049517",119.453877161174,0.305930516720248,0.125112171229483,2.44524984031414,0.0144751828699084,0.097509695941979
"ENSRNOG00000012074",1087.34033279093,0.106167582180326,0.0506104709482482,2.09773946361589,0.0359281667317139,0.177914909613314
"ENSRNOG00000012322",130.417357919289,0.0462626173889196,0.108513962130782,0.426328709048182,0.669868341170226,0.86715461416268
"ENSRNOG00000031700",268.745543045193,-0.0838322181524703,0.0793852956648536,-1.05601695440413,0.29096046899623,0.596142437385468
"ENSRNOG00000058050",3611.37953539586,0.0514266941111396,0.0515651666723512,0.99731461042119,0.318611824112463,0.622401231400204
"ENSRNOG00000013969",1066.61304822055,0.091322812416393,0.0623527455776259,1.46461573697185,0.143025786014434,0.409951816890209
"ENSRNOG00000014531",1312.45471338445,-0.122619077774675,0.0493984222662001,-2.48224684411782,0.0130556799545798,0.0913211539019503
"ENSRNOG00000014979",86.2627268620171,-0.0222802125058421,0.155773162255472,-0.143029853045559,0.886266604258683,0.956943703297589
"ENSRNOG00000047605",631.537214554197,-0.157775879858039,0.0661234251822927,-2.38608147450126,0.017028977936377,0.109117787650626
"ENSRNOG00000046617",133.459933419065,0.12457373427947,0.127971919989615,0.973445848820424,0.330331761216282,0.634219828869167
"ENSRNOG00000011245",701.871612383085,-0.0911389270224752,0.0643048346741326,-1.41729509895058,0.15639666749059,0.432625943675653
"ENSRNOG00000011720",562.244148022306,-0.0271242643674196,0.0766597339431434,-0.353826748049204,0.723468726518566,0.889688783797264
"ENSRNOG00000033517",7488.36742219379,0.0964062854527157,0.0644966848689036,1.49474791841894,0.134980243294123,0.397114286748415
