"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000040300",30.3158636294328,0.724628961445972,0.253393985459949,2.85969282234801,0.00424051536174909,0.0427197319084218
"ENSRNOG00000061316",3106.94090809618,0.215961346355528,0.0730954859421135,2.95451002988822,0.0031316597374107,0.0339138271403806
"ENSRNOG00000023659",16.1903949085501,0.884852785943632,0.312141854792807,2.83477775363057,0.00458575753662691,0.0451531643772581
"ENSRNOG00000029897",13.9855208346228,-0.551262227261335,0.441737638259081,-1.24794035987945,0.212052898924523,0.520649695776131
"ENSRNOG00000014303",1023.86150521215,0.0714512227625793,0.0628994216007889,1.13595993324179,0.255973333277334,0.576781784027683
"ENSRNOG00000014330",717.529678493666,0.0546281766108564,0.066260733497541,0.824442678602157,0.409688073239149,0.716855168224349
"ENSRNOG00000049505",348.251205791825,0.105287626299531,0.0946869371315382,1.111955138577,0.266157439432371,0.588379949127723
"ENSRNOG00000014916",1556.08107739596,-0.105777634699403,0.0605547842092334,-1.74680887861663,0.0806704959712436,0.308980314897592
"ENSRNOG00000014996",493.935710689219,0.00347325863356857,0.0686442249587285,0.050597972890754,0.959645878156963,0.986355671686687
"ENSRNOG00000015239",1159.77953991581,-0.00540508027017403,0.0593593748734495,-0.0910568934005339,0.92744738437549,0.975784438621463
"ENSRNOG00000053710",36.0290778807569,-0.578024241535131,0.336598951837667,-1.71724908345495,0.085933670806918,0.319831855343271
"ENSRNOG00000015552",1061.71602239599,-0.0915990178091069,0.0732272888439823,-1.25088637385261,0.210975935937642,0.519663173045888
"ENSRNOG00000016054",2550.87166020088,-0.148503233671158,0.0449787086041326,-3.3016340015043,0.000961234076876861,0.0138132896973416
"ENSRNOG00000016381",470.192846937668,-0.116758979465747,0.0781778088389065,-1.4935053975015,0.135304942451626,0.411060652906728
"ENSRNOG00000013160",705.779972723363,-0.024923540236186,0.0725415544947416,-0.343576042859581,0.7311651441053,0.899793625459898
"ENSRNOG00000023549",178.442473328202,-0.224159990931875,0.116408112770764,-1.92563890605547,0.0541494771958847,0.240075057238039
"ENSRNOG00000031859",89.1033877036925,-0.335614324062981,0.236428076315105,-1.41951975118083,0.155747542734994,0.445168352398274
