"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000014916,78.6274805583983,73.0391458153091,73.6691804487888,67.196129089698,71.4673142414912,68.6265079204983,77.7053257427787,90.8884411313237,78.6321362307886,81.3992121166169,70.3586889967978,72.681024601738
ENSRNOG00000015552,59.1415397243605,45.643888924289,46.9768333852587,48.1122390099599,49.7589886313413,44.2016102133306,63.7855097509216,72.7209307820053,73.1016898433244,74.6745471847366,72.1949119432451,65.9550181814115
ENSRNOG00000016054,124.631882226728,121.493948720273,115.978035810219,125.110763252278,118.441862058229,113.880537424622,110.416893323643,109.819292251622,99.1737942413701,100.562309569557,103.365916107326,105.457757381389
ENSRNOG00000014852,80.9716538918164,79.8656511969476,72.608276352464,65.3493010174653,78.0674702464774,67.4425362183556,67.306404384156,75.2654000186045,72.8937783249986,73.4878416085224,67.5371756888422,73.5343239237198
ENSRNOG00000015217,56.6020186131576,49.9271864186505,56.8220233991522,52.5162136437456,56.7200906678502,56.7429400952874,60.1417932118766,60.914593524185,59.795352670478,64.8292861079968,64.446946827748,63.0939557488845
ENSRNOG00000047746,123.117936948896,98.6943130992448,83.2597534795643,105.032427287491,83.9972979072072,115.020658322982,150.825300335298,225.134638054298,190.072710053376,141.525627978135,98.0811768955998,137.481578994586
ENSRNOG00000051450,89.5669561143494,93.3848089135259,94.0385390982234,108.1578286405,98.0741931365918,100.856848701052,79.8751794120976,74.7565061712847,87.9049899481159,81.0475956495905,91.2289302905647,97.4267049392082
ENSRNOG00000060603,54.9903994464326,62.6878435372689,64.5878413842491,62.5553816261388,68.270363676576,85.0705593391481,180.015973282928,166.560956227784,183.461123770618,160.512917197562,164.633062222934,148.976022802458
ENSRNOG00000014531,73.3042536137614,66.0341697047388,67.3886281985464,65.8228466770121,64.7124670801381,63.5398146816627,52.1174286989237,45.1897736420019,49.5661059688525,48.0835518658633,49.8915210327389,47.2828212533406
ENSRNOG00000012346,92.5948466700144,82.7211828598552,90.9406991369552,78.7506431826411,91.6287282879725,88.7978776607087,134.981274485744,130.887497530663,121.295579791227,125.307318436542,128.177318847126,123.377043143006
ENSRNOG00000015670,58.1648008354363,54.4335723241766,59.7076825411554,60.1876533284046,60.7936244521776,58.409270639044,51.3804972640607,52.8740707365315,57.5499082725602,56.9179155999022,54.6836150637111,55.7656203953943
ENSRNOG00000013331,73.206579724869,75.7608244315179,78.3371584726175,73.1628043999883,71.7766965542249,74.2832616085139,66.2828885024018,62.8992795287324,65.7000397909286,60.6977926204363,63.4168705407166,68.4145279918294
ENSRNOG00000016923,67.2973094468776,76.5193250294777,78.2947223087645,91.536375990406,80.800347342292,81.036285391106,91.4613791935551,75.1636212491406,82.1666320423259,85.2669932539076,83.8840385047755,82.9708105432825
ENSRNOG00000023053,61.6322238911172,60.5461947900882,67.1340112154285,56.9201882775313,61.5155165152229,62.1365889606046,69.3534361476644,71.9575900110256,68.985041780475,65.8401834506977,63.0137972110086,63.5457024487572
ENSRNOG00000017254,95.280878614556,90.7969833440159,92.5108371995158,92.3887581775904,93.6912770395307,87.8331599774813,88.6364753599135,93.025795290067,92.0632203146303,84.4758562030981,88.1387014294705,91.8551623074452
ENSRNOG00000019549,105.53663694826,98.515842370313,114.365461583805,90.0683844458108,106.118133267669,104.715719433962,148.205099678008,165.492279148412,135.766221466697,127.285161063565,118.100485604428,135.022069184168
ENSRNOG00000016919,77.2112091694582,73.6191756843372,71.3351914368744,64.4969188302809,70.8485496160237,68.1441490788846,83.4779553158723,90.1251003603439,75.3887165449073,75.8612527609508,77.1661496763098,78.9050902444283
ENSRNOG00000017030,67.4438202802162,49.9271864186505,54.7002152065027,50.6693855715129,55.6372525732821,53.2787265964252,62.3525875164657,66.4106470752393,59.1300358118357,60.7417446788146,61.7597912963617,53.3061105849764
ENSRNOG00000018012,61.4368761133324,61.7062545281444,67.3037558708404,52.4215045118363,64.1968298922486,75.9495921522704,144.520442503693,133.482856151994,140.465021780859,130.317853091668,125.131875911555,115.998513711752
ENSRNOG00000014997,164.385155005943,167.360926055727,178.1894520187,143.294916578877,163.199169967042,159.836179789276,63.9083316567321,61.1690404478449,52.9758548693943,51.2041480107229,56.7437676377739,55.8660085509216
ENSRNOG00000061312,113.643569726331,99.6759021083692,100.955633806261,105.600682078947,115.038656618158,103.97025576965,112.627687628232,125.238775825413,111.773232251909,108.605536252786,112.143957509855,107.666296802989
ENSRNOG00000014434,82.9251316696648,70.451320245799,76.554839590792,60.3770715922233,74.5611373688285,65.6446532632499,89.1277629831555,94.1453617541706,89.2356236654005,84.5198082614764,84.7349710897145,81.8665408324826
