"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667,X12668,X12669,X12670,X12671,X12672,X12673
ENSRNOG00000061316,148.171289449802,130.774426624723,134.947001052505,122.932453218362,123.907616249858,110.460174729543,169.084823665793,211.954287408714,176.392132147544,199.630249154252,181.338212443052,183.308771992781,162.5130916942,152.291542281474,148.189204634743,163.586773095402,132.561877471671,138.318561673129
ENSRNOG00000014303,39.9974575014461,43.1006810370119,46.2129824359049,49.8643579502833,45.3245088154912,43.2807433338862,51.3395566287905,48.3449154953849,51.146233508128,56.8739635415239,53.6535387766797,56.5687256396124,46.342152083672,52.821385429189,45.78853480775,47.482713053978,45.7622347926062,43.9516924942654
ENSRNOG00000014330,29.1556558343875,34.8910275061525,30.0872401717691,31.0172407003187,30.783540117006,32.8004012297334,32.3431018634326,28.803391758303,29.6481825132482,30.7224888064337,29.6482826962955,29.6145058805424,34.0804153455798,34.9612809689364,30.023725804054,35.5780862349158,31.4353403029976,30.5484673837851
ENSRNOG00000049505,16.6045611117114,12.4483333429879,15.1072743316641,15.2481702374086,15.881625386998,14.6900192673271,20.2656144587331,18.8290723508341,19.6684296336134,22.6792621232043,23.1095375699221,22.6877231491613,17.0402076727899,15.7351061958599,17.0824646816169,17.6532488951872,17.032238927806,12.51874832654
ENSRNOG00000014916,78.6274805583983,73.0391458153091,73.6691804487888,67.196129089698,71.4673142414912,68.6265079204983,77.7053257427787,90.8884411313237,78.6321362307886,81.3992121166169,70.3586889967978,72.681024601738,69.6484678689428,74.9820816149982,62.2592307817608,68.8024059504733,66.1475766860652,61.1989897811018
ENSRNOG00000014996,20.462679722962,24.2274014524819,20.3269224855817,22.2092914327472,23.3068008926075,21.8377002839669,21.9851211400802,19.6941918912779,23.7434953927976,25.4921938594157,22.1242472084138,22.2359764492886,21.3227995482265,22.919624137378,20.5648404018363,23.4471357120692,23.7384448591121,20.9212777739731
ENSRNOG00000015239,56.5531816687113,53.7643070906826,47.9104289900245,53.1318230011565,50.2230621004419,50.0776179202614,55.5155014263477,62.1359387577526,55.8450338222893,52.6545659372069,47.5626529055374,59.7309525387212,52.1574610513701,57.0713819579743,48.9414966084892,54.6798068343235,49.839303171298,48.5441681031864
ENSRNOG00000015552,59.1415397243605,45.643888924289,46.9768333852587,48.1122390099599,49.7589886313413,44.2016102133306,63.7855097509216,72.7209307820053,73.1016898433244,74.6745471847366,72.1949119432451,65.9550181814115,47.7847093469769,49.5832928358287,48.612082689009,45.2194760161334,43.0949937972003,42.0806839128532
ENSRNOG00000016054,124.631882226728,121.493948720273,115.978035810219,125.110763252278,118.441862058229,113.880537424622,110.416893323643,109.819292251622,99.1737942413701,100.562309569557,103.365916107326,105.457757381389,116.666818669789,108.627887467882,106.494814254818,109.721731594702,106.651536373443,102.259123558639
ENSRNOG00000016381,24.6138200008899,21.8180466119036,22.3638583505252,19.6521448711943,20.7801786719487,21.9692526953161,29.026910406549,32.009422996418,28.0264726703075,29.316022938328,29.5587108452492,27.3055783034154,22.6751969825749,21.8065298084104,17.5059968638058,19.5543680069766,20.8806866497487,18.8801775033416
